"entity_type","name","alt_names","slug","category","subcategory","short_description","long_description","key_facts","real_world_basis","first_shown_in","first_shown_date","confirmed_status","source_tier","source_url","source_date","confidence","official_image_exists","related_entities","search_terms","notes"
"landmark","Allied Crystal Sugar Refinery","","allied-crystal-sugar-refinery","factory","","Allied Crystal Sugar Refinery is a factory listed for GTA 6 on the GTA Fandom wiki.","Allied Crystal Sugar Refinery appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a factory. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: factory;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Allied_Crystal_Sugar_Refinery","2026-09-13","LOW","NO","","gta 6 allied crystal sugar refinery;allied crystal sugar refinery gta 6;where is allied crystal sugar refinery gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Ambrosia Raceway Park","","ambrosia-raceway-park","","","Ambrosia Raceway Park is a place listed for GTA 6 on the GTA Fandom wiki.","Ambrosia Raceway Park appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki gives no place type for it. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: not given;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Ambrosia_Raceway_Park","2026-09-13","LOW","NO","","gta 6 ambrosia raceway park;ambrosia raceway park gta 6;where is ambrosia raceway park gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Animal Hospital of Key Lento","","animal-hospital-of-key-lento","hospital","","Animal Hospital of Key Lento is a hospital listed for GTA 6 on the GTA Fandom wiki.","Animal Hospital of Key Lento appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a hospital. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: hospital;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Animal_Hospital_of_Key_Lento","2026-09-13","LOW","NO","","gta 6 animal hospital of key lento;animal hospital of key lento gta 6;where is animal hospital of key lento gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Archez Footwear & Clothing","","archez-footwear-clothing","clothes shop","","Archez Footwear & Clothing is a clothes shop listed for GTA 6 on the GTA Fandom wiki.","Archez Footwear & Clothing appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a clothes shop. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: clothes shop;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Archez","2026-09-13","LOW","NO","","gta 6 archez footwear & clothing;archez footwear & clothing gta 6;where is archez footwear & clothing gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Archipelago","","archipelago","skyscraper","","Archipelago is a skyscraper listed for GTA 6 on the GTA Fandom wiki.","Archipelago appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a skyscraper. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: skyscraper;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Archipelago_(GTA_VI)","2026-09-13","LOW","NO","","gta 6 archipelago;archipelago gta 6;where is archipelago gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Atlantis Hotel","","atlantis-hotel","hotel","","Atlantis Hotel is a hotel listed for GTA 6 on the GTA Fandom wiki.","Atlantis Hotel appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a hotel. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: hotel;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Atlantis_Hotel","2026-09-13","LOW","NO","","gta 6 atlantis hotel;atlantis hotel gta 6;where is atlantis hotel gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Bayfront Heights","","bayfront-heights","hotel","","Bayfront Heights is a hotel listed for GTA 6 on the GTA Fandom wiki.","Bayfront Heights appear on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a hotel. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: hotel;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Bayfront_Heights","2026-09-13","LOW","NO","","gta 6 bayfront heights;bayfront heights gta 6;where is bayfront heights gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Beacon Theater","","beacon-theater","theater","","Beacon Theater is a theater listed for GTA 6 on the GTA Fandom wiki.","Beacon Theater appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a theater. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: theater;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Beacon_Theater_(GTA_VI)","2026-09-13","LOW","NO","","gta 6 beacon theater;beacon theater gta 6;where is beacon theater gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Bite House","","bite-house","restaurant","","Bite House is a restaurant listed for GTA 6 on the GTA Fandom wiki.","Bite House appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a restaurant. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: restaurant;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Bite_House","2026-09-13","LOW","NO","","gta 6 bite house;bite house gta 6;where is bite house gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
"landmark","Boardwalk Hotel","","boardwalk-hotel","hotel","","Boardwalk Hotel is a hotel listed for GTA 6 on the GTA Fandom wiki.","Boardwalk Hotel appears on the GTA Fandom wiki as a Grand Theft Auto VI landmark. The wiki files it as a hotel. It is a single site rather than an area. No coordinates, no district boundary and no in-game address are given with it. Grand Theft Auto VI has not released and Rockstar has published no list of its own, so this entry records what the wiki says and does not treat it as confirmed.","Place type: hotel;Scope: single site;Coordinates: not given;Source: GTA Fandom wiki, via outlawdb","","","","COMMUNITY_IDENTIFIED","TIER_3_COMMUNITY","https://gta.fandom.com/wiki/Boardwalk_Hotel","2026-09-13","LOW","NO","","gta 6 boardwalk hotel;boardwalk hotel gta 6;where is boardwalk hotel gta 6","Data from outlawdb (https://outlawdb.com/en/gta-6/places), derived from GTA Wiki, CC BY-SA 3.0."
